24,11
24,17
18,21
14,21
22,20
11,9
15,10
23,12
14,20
8,7
11,11
10,16
2,7
14,15
15,4
9,13
21,5
17,21
22,20
16,4
19,24
4,11
13,18
15,6
5,25
14,21
15,4
24,23
13,2
12,21
4,10
15,15
18,4
21,18
12,20
6,16
25,17
21,3
15,10
16,14
13,24
5,25
17,6
4,14
8,19
18,25
24,13
9,22
24,23
8,18
4,21
23,1
24,5
15,4
2,9
23,9
18,15
8,21
7,8
2,15
13,16
13,16
14,16
13,14
21,16
23,17
9,12
1,12
16,13
8,6
3,23
13,17
23,10
24,18
17,7
5,23
11,22
20,17
8,6
5,20
23,21
25,21
7,8
20,2
21,23
7,24
5,17
9,15
5,22
15,9
3,25
1,14
2,4
20,10
18,12
2,16
24,11
11,23
24,24
16,10
8,1
20,19
8,17
13,23
15,15
11,13
3,21
4,19
21,1
4,5
10,20
6,1
9,19
25,10
11,11
25,17
17,4
9,10
23,16
23,8
10,11
22,12
25,15
1,2
15,19
14,20
9,14
3,25
17,3
21,14
25,9
3,6
2,15
5,21
12,12
2,22
20,6
25,15
12,17
12,10
11,12
13,12
8,1
24,20
21,13
13,25
4,18
20,12
23,4
18,18
3,2
3,21
1,21
22,10
15,5
5,21
2,19
12,8
24,12
18,18
18,1
17,5
18,12
19,8
25,9
12,19
2,10
24,2
16,5
13,12
23,24
7,8
24,3
7,11
14,10
16,3
22,17
3,8
10,8
25,6
17,20
19,20
24,5
7,19
13,23
14,23
3,25
16,7
3,4
18,11
21,24
19,2
23,24
1,23
24,6
5,8
11,22
16,25
14,6
25,13
1,6
14,16
15,22
4,4
12,4
17,7
3,17
16,11
14,23
9,1
18,4
3,7
18,4
24,14
7,10
2,17
21,13
9,5
2,11
14,16
24,1
19,16
19,14
20,17
6,6
19,12
5,16
9,9
16,4
2,1
4,16
7,25
4,5
15,21
14,5
3,4
8,21
13,20
4,7
4,11
18,1
15,19
17,12
23,22
16,7
24,20
18,6
24,13
22,2
3,14
22,14
7,14
20,1
18,20
18,9
16,13
6,24
9,19
14,10
12,3
20,17
15,20
16,6
1,24
5,11
4,6
20,4
6,3
25,5
20,2
15,25
18,21
1,7
15,14
1,6
13,23
1,9
21,21
18,23
20,22
25,11
4,11
12,10
15,9
8,8
22,19
4,11
9,6
10,24
24,23
21,18
18,22
11,24
10,8
2,17
18,3
16,17
3,25
19,8
11,9
7,19
3,10
13,16
13,18
10,19
17,8
18,19
18,12
16,4
14,17
10,13
14,12
10,4
24,18
24,2
10,13
1,14
23,2
19,13
5,17
16,23
14,13
16,8
5,4
17,3
3,19
5,22
11,2
4,22
6,9
5,11
16,14
12,11
3,19
15,24
21,18
17,10
4,16
7,25
19,16
23,14
7,18
22,13
15,5
17,10
13,12
12,10
24,4
17,22
6,20
14,17
3,4
24,4
24,12
5,12
6,13
4,20
18,3
7,7
11,16
18,23
20,18
4,11
5,25
5,23
6,24
6,23
10,18
24,20
24,24
17,18
7,22
3,12
17,3
13,20
1,24
25,3
17,17
17,17
14,9
18,17
2,18
8,23
22,22
21,5
25,18
12,2
10,15
5,18
14,7
12,21
15,5
11,3
13,4
4,25
8,7
19,5
3,21
17,22
20,7
9,13
11,2
6,16
21,1
18,13
25,13
13,15
18,7
3,16
4,16
5,23
4,12
17,11
10,20
12,3
23,3
2,8
22,8
22,22
3,1
12,10
16,8
18,21
8,3
13,3
22,13
7,4
20,7
21,3
22,9
4,3
9,12
18,16
6,7
10,1
11,3
20,5
3,10
18,15
11,11
24,20
1,24
16,18
15,15
20,1
17,24
23,22
10,25
6,14
9,12
11,7
3,24
10,6
18,1
12,6
14,3
25,15
24,13
19,10
14,24
9,11
4,7
10,4
12,7
25,9
8,21
8,9
19,23
18,25
25,6
13,22
15,10
16,24
24,14
6,16
4,25
4,5
20,4
15,24
2,7
16,6
18,21
9,23
14,12
20,19
1,15
6,4
21,11
19,16
25,12
9,5
18,7
20,3
22,20
14,20
13,1
12,1
8,24
5,5
13,19
19,7
24,10
19,19
1,15
12,2
11,22
19,10
19,17
24,3
25,6
3,16
12,4
23,5
12,24
9,18
1,12
22,7
24,5
6,8
19,15
23,16
12,22
11,16
13,2
19,5
14,6
20,15
8,9
23,8
3,9
12,18
15,21
7,13
18,6
17,15
25,20
23,7
9,3
7,8
18,8
6,23
14,23
5,21
11,1
14,9
8,16
10,14
12,5
18,21
1,20
10,6
10,22
7,5
7,5
10,24
12,20
6,17
24,18
11,17
1,17
17,24
5,5
17,4
21,6
5,7
21,15
10,19
4,8
11,8
16,5
6,1
22,24
12,14
2,5
24,3
8,15
14,18
5,1
7,2
8,7
13,7
19,23
21,16
21,24
15,15
9,15
8,21
14,3
25,1
16,5
9,9
